2021-12-22 21:23:19,787 - INFO     - decorators - Called function "args_parser" from function "main"
2021-12-22 21:23:19,788 - INFO     - decorators - Function "args_parser" from module "__main__" with arguments ((), {})
2021-12-22 21:23:20,216 - INFO     - decorators - Called function "args_parser" from function "main"
2021-12-22 21:23:20,217 - INFO     - decorators - Function "args_parser" from module "__main__" with arguments ((), {})
2021-12-22 21:23:25,995 - INFO     - client - Client app connected. Server IP-address: 127.0.0.1, server port: 7777, username: user_1.
2021-12-22 21:23:26,016 - INFO     - client - Created presence message for user user_1
2021-12-22 21:23:26,018 - INFO     - decorators - Called function "confirm_presence" from function "main"
2021-12-22 21:23:26,038 - INFO     - decorators - Function "confirm_presence" from module "__main__" with arguments (('user_1',), {})
2021-12-22 21:23:26,040 - INFO     - decorators - Called function "send_message" from function "main"
2021-12-22 21:23:26,040 - INFO     - decorators - Function "send_message" from module "common.utils" with arguments ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61419), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1640197406.0165498, 'user': 'user_1'}), {})
2021-12-22 21:23:26,522 - INFO     - decorators - Called function "get_message" from function "main"
2021-12-22 21:23:26,522 - INFO     - decorators - Function "get_message" from module "common.utils" with arguments ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61419), raddr=('127.0.0.1', 7777)>,), {})
2021-12-22 21:23:26,522 - INFO     - client - Response 200: OK
2021-12-22 21:23:26,522 - INFO     - decorators - Called function "receive_message" from function "main"
2021-12-22 21:23:26,522 - INFO     - decorators - Function "receive_message" from module "__main__" with arguments (({'response': 200},), {})
2021-12-22 21:23:26,523 - INFO     - client - Connection with server 127.0.0.1:7777. Server response: Response 200: OK
2021-12-22 21:23:31,334 - INFO     - client - Client app connected. Server IP-address: 127.0.0.1, server port: 7777, username: user_2.
2021-12-22 21:23:31,335 - INFO     - client - Created presence message for user user_2
2021-12-22 21:23:31,336 - INFO     - decorators - Called function "confirm_presence" from function "main"
2021-12-22 21:23:31,336 - INFO     - decorators - Function "confirm_presence" from module "__main__" with arguments (('user_2',), {})
2021-12-22 21:23:31,337 - INFO     - decorators - Called function "send_message" from function "main"
2021-12-22 21:23:31,337 - INFO     - decorators - Function "send_message" from module "common.utils" with arguments ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61420), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1640197411.335725, 'user': 'user_2'}), {})
2021-12-22 21:23:31,843 - INFO     - decorators - Called function "get_message" from function "main"
2021-12-22 21:23:31,843 - INFO     - decorators - Function "get_message" from module "common.utils" with arguments ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61420), raddr=('127.0.0.1', 7777)>,), {})
2021-12-22 21:23:31,843 - INFO     - client - Response 200: OK
2021-12-22 21:23:31,844 - INFO     - decorators - Called function "receive_message" from function "main"
2021-12-22 21:23:31,844 - INFO     - decorators - Function "receive_message" from module "__main__" with arguments (({'response': 200},), {})
2021-12-22 21:23:31,844 - INFO     - client - Connection with server 127.0.0.1:7777. Server response: Response 200: OK
2021-12-22 21:23:42,753 - INFO     - decorators - Called function "send_message" from function "create_message"
2021-12-22 21:23:42,753 - INFO     - decorators - Function "send_message" from module "common.utils" with arguments ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61419), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1640197422.7490308, 'sender': 'user_1', 'recipient': 'user_2', 'message_text': 'Hello World!'}), {})
2021-12-22 21:23:42,753 - CRITICAL - client - Lost connection with server
2021-12-22 21:23:54,504 - INFO     - decorators - Called function "send_message" from function "create_message"
2021-12-22 21:23:54,504 - INFO     - decorators - Function "send_message" from module "common.utils" with arguments ((<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 61420), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'time': 1640197434.503198, 'sender': 'user_2', 'recipient': 'user_1', 'message_text': 'Hello!'}), {})
2021-12-22 21:23:54,505 - CRITICAL - client - Lost connection with server
